Bank_id,Year,Bank_name,Sector
74,2015,MIZUHO BANK LTD,Foreign
74,2016,MIZUHO BANK LTD,Foreign
74,2017,MIZUHO BANK LTD,Foreign
74,2018,MIZUHO BANK LTD,Foreign
74,2019,MIZUHO BANK LTD,Foreign
74,2020,MIZUHO BANK LTD,Foreign
75,2005,"MUFG BANK, LTD.",Foreign
75,2006,"MUFG BANK, LTD.",Foreign
75,2007,"MUFG BANK, LTD.",Foreign
75,2008,"MUFG BANK, LTD.",Foreign
75,2009,"MUFG BANK, LTD.",Foreign
75,2010,"MUFG BANK, LTD.",Foreign
75,2011,"MUFG BANK, LTD.",Foreign
75,2013,"MUFG BANK, LTD.",Foreign
75,2014,"MUFG BANK, LTD.",Foreign
75,2015,"MUFG BANK, LTD.",Foreign
75,2016,"MUFG BANK, LTD.",Foreign
75,2017,"MUFG BANK, LTD.",Foreign
75,2018,"MUFG BANK, LTD.",Foreign
75,2019,"MUFG BANK, LTD.",Foreign
75,2020,"MUFG BANK, LTD.",Foreign
76,2005,NAINITAL BANK,Private
76,2006,NAINITAL BANK,Private
76,2007,NAINITAL BANK,Private
76,2008,NAINITAL BANK,Private
76,2009,NAINITAL BANK,Private
76,2010,NAINITAL BANK,Private
76,2011,NAINITAL BANK,Private
76,2012,NAINITAL BANK,Private
76,2013,NAINITAL BANK,Private
76,2014,NAINITAL BANK,Private
76,2015,NAINITAL BANK,Private
76,2016,NAINITAL BANK,Private
76,2017,NAINITAL BANK,Private
76,2018,NAINITAL BANK,Private
76,2019,NAINITAL BANK,Private
76,2020,NAINITAL BANK,Private
77,2012,NATIONAL AUSTRALIA BANK,Foreign
77,2013,NATIONAL AUSTRALIA BANK,Foreign
77,2014,NATIONAL AUSTRALIA BANK,Foreign
77,2015,NATIONAL AUSTRALIA BANK,Foreign
77,2016,NATIONAL AUSTRALIA BANK,Foreign
77,2017,NATIONAL AUSTRALIA BANK,Foreign
77,2018,NATIONAL AUSTRALIA BANK,Foreign
77,2019,NATIONAL AUSTRALIA BANK,Foreign
78,2016,NATWEST MARKETS PLC,Foreign
78,2017,NATWEST MARKETS PLC,Foreign
78,2018,NATWEST MARKETS PLC,Foreign
78,2019,NATWEST MARKETS PLC,Foreign
78,2020,NATWEST MARKETS PLC,Foreign
79,2005,ORIENTAL BANK OF COMMERCE,Public
79,2006,ORIENTAL BANK OF COMMERCE,Public
79,2007,ORIENTAL BANK OF COMMERCE,Public
79,2008,ORIENTAL BANK OF COMMERCE,Public
79,2009,ORIENTAL BANK OF COMMERCE,Public
79,2010,ORIENTAL BANK OF COMMERCE,Public
79,2011,ORIENTAL BANK OF COMMERCE,Public
79,2012,ORIENTAL BANK OF COMMERCE,Public
79,2013,ORIENTAL BANK OF COMMERCE,Public
79,2014,ORIENTAL BANK OF COMMERCE,Public
79,2015,ORIENTAL BANK OF COMMERCE,Public
79,2016,ORIENTAL BANK OF COMMERCE,Public
79,2017,ORIENTAL BANK OF COMMERCE,Public
79,2018,ORIENTAL BANK OF COMMERCE,Public
79,2019,ORIENTAL BANK OF COMMERCE,Public
79,2020,ORIENTAL BANK OF COMMERCE,Public
80,2005,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2006,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2007,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2008,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2009,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2010,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2011,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2012,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2013,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2014,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2015,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2016,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2017,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2018,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2019,PT BANK MAYBANK INDONESIA TBK,Foreign
80,2020,PT BANK MAYBANK INDONESIA TBK,Foreign
81,2005,PUNJAB AND SIND BANK,Public
81,2006,PUNJAB AND SIND BANK,Public
81,2007,PUNJAB AND SIND BANK,Public
81,2008,PUNJAB AND SIND BANK,Public
81,2009,PUNJAB AND SIND BANK,Public
81,2010,PUNJAB AND SIND BANK,Public
81,2011,PUNJAB AND SIND BANK,Public
81,2012,PUNJAB AND SIND BANK,Public
81,2013,PUNJAB AND SIND BANK,Public
81,2014,PUNJAB AND SIND BANK,Public
81,2015,PUNJAB AND SIND BANK,Public
81,2016,PUNJAB AND SIND BANK,Public
81,2017,PUNJAB AND SIND BANK,Public
81,2018,PUNJAB AND SIND BANK,Public
81,2019,PUNJAB AND SIND BANK,Public
81,2020,PUNJAB AND SIND BANK,Public
82,2005,PUNJAB NATIONAL BANK,Public
82,2006,PUNJAB NATIONAL BANK,Public
82,2007,PUNJAB NATIONAL BANK,Public
82,2008,PUNJAB NATIONAL BANK,Public
82,2009,PUNJAB NATIONAL BANK,Public
82,2010,PUNJAB NATIONAL BANK,Public
82,2011,PUNJAB NATIONAL BANK,Public
82,2012,PUNJAB NATIONAL BANK,Public
82,2013,PUNJAB NATIONAL BANK,Public
82,2014,PUNJAB NATIONAL BANK,Public
82,2015,PUNJAB NATIONAL BANK,Public
82,2016,PUNJAB NATIONAL BANK,Public
82,2017,PUNJAB NATIONAL BANK,Public
82,2018,PUNJAB NATIONAL BANK,Public
82,2019,PUNJAB NATIONAL BANK,Public
82,2020,PUNJAB NATIONAL BANK,Public
83,2018,QATAR NATIONAL BANK (Q.P.S.C.),Foreign
83,2019,QATAR NATIONAL BANK (Q.P.S.C.),Foreign
83,2020,QATAR NATIONAL BANK (Q.P.S.C.),Foreign
84,2005,RBL,Private
84,2006,RBL,Private
84,2007,RBL,Private
84,2008,RBL,Private
84,2009,RBL,Private
84,2010,RBL,Private
84,2011,RBL,Private
84,2012,RBL,Private
84,2013,RBL,Private
84,2014,RBL,Private
84,2015,RBL,Private
84,2016,RBL,Private
84,2017,RBL,Private
84,2018,RBL,Private
84,2019,RBL,Private
84,2020,RBL,Private
85,2005,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2006,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2007,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2008,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2009,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2010,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2011,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2012,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2013,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2014,ROYAL BANK OF SCOTLAND N.V.,Foreign
85,2015,ROYAL BANK OF SCOTLAND N.V.,Foreign
86,2005,SANGLI BANK,Private
86,2006,SANGLI BANK,Private
86,2007,SANGLI BANK,Private
87,2012,SBERBANK,Foreign
87,2013,SBERBANK,Foreign
87,2014,SBERBANK,Foreign
87,2015,SBERBANK,Foreign
87,2016,SBERBANK,Foreign
87,2017,SBERBANK,Foreign
87,2018,SBERBANK,Foreign
87,2019,SBERBANK,Foreign
87,2020,SBERBANK,Foreign
88,2005,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
88,2006,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
88,2007,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
88,2008,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
88,2009,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
88,2010,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
88,2011,SBI COMMERCIAL & INTERNATIONAL BANK LTD,Private
89,2005,SBM BANK (INDIA) LTD,Foreign
89,2006,SBM BANK (INDIA) LTD,Foreign
89,2007,SBM BANK (INDIA) LTD,Foreign
89,2008,SBM BANK (INDIA) LTD,Foreign
89,2009,SBM BANK (INDIA) LTD,Foreign
89,2010,SBM BANK (INDIA) LTD,Foreign
89,2011,SBM BANK (INDIA) LTD,Foreign
89,2012,SBM BANK (INDIA) LTD,Foreign
89,2013,SBM BANK (INDIA) LTD,Foreign
89,2014,SBM BANK (INDIA) LTD,Foreign
89,2015,SBM BANK (INDIA) LTD,Foreign
89,2016,SBM BANK (INDIA) LTD,Foreign
89,2017,SBM BANK (INDIA) LTD,Foreign
89,2018,SBM BANK (INDIA) LTD,Foreign
